id_nestbox;coord_x;coord_y;lsource_0_m;lsource_0_iq;lsource_10_m;lsource_10_iq;lflux_0_m;lflux_0_iq;lflux_10_m;lflux_10_iq;lsource_vs150_m;lsource_vs150_iq;noise_m;noise_iq;soft_manag_area;trafic;woodyveg_volume;woodyveg_sd;vegetation_area;herbaceous_area;built_area;age_class;site;strata_div
DIJ-061;853400,5069;6693574,282;10;9;42;24;91,98913521;158,2790236;91,21927144;81,6268621;11;20;58,8055954;18,58791351;0;5090815,36;184092,9339;6,048343308;20063;4376;23286;2;darcy;
DIJ-062;853410,0263;6693540,971;10,5;9;43;25,5;108,7463918;166,3261644;87,68605673;78,96264978;14;24;60,70132446;18,07188416;0;4538543,822;190679,3902;5,952409517;21313;4934;22628;2;darcy;
DIJ-063;853425,7573;6693509,902;11;9;44;29;98,11972156;164,0823058;92,50029666;73,17598668;15;26;61,61931229;19,08764267;0;5663699,139;206031,948;5,972322813;23148;5182;20598;2;darcy;
DIJ-064;853504,8058;6693478,25;11;14;46;25,5;83,71154155;159,0043307;88,6925183;50,78892075;20;33;61,51067352;22,25443649;0;5728351,366;213459,0172;5,976873843;24332;5437;17854;2;darcy;
DIJ-065;853648,0089;6693253,564;1,5;2,75;2,5;6;8,331529425;112,2758407;10,96849401;86,63278706;2;6;48,37094498;13,80242157;0;2907509,547;80160,88733;5,423831562;11231;3546;32494;2;sq_benedictins;
DIJ-066;853677,1295;6693246,085;1;2;2;6;2,442285801;67,65288903;4,325823698;66,11487276;2;5;47,49641037;10,88549805;0;2488464,841;82535,35248;5,396164924;11696;3750;33589;2;sq_benedictins;
DIJ-067;853677,4286;6693297,011;2;4;3;6,5;14,79208976;111,7843376;29,03659294;85,04210757;2;7;47,52357101;12,62913513;0;2181403,29;70042,55812;5,64975426;9964;3197;32483;2;sq_benedictins;2
DIJ-068;853993,6586;6692774,13;2;6;11;10;114,6283561;234,7871985;131,4296717;233,6718962;6;10;49,92324448;12,61771011;0;2953305,822;87463,52924;4,630002808;16928;6121;25051;1;musee_vie_bourg;2
DIJ-069;853944,6877;6692796,306;2;6,5;11;9,75;102,6966803;232,8189549;124,4039946;230,2369614;6;11;48,70228958;10,64106369;0;2858126,235;91843,54137;4,542176829;18151;6596;25823;0;musee_vie_bourg;
DIJ-070;853875,7343;6692777,951;1;9;11;10;4,75139584;166,5971875;34,29296897;186,7508817;5;10;49,75061798;12,09680939;0;3232905,583;90038,54431;4,616856563;16913;5533;26929;1;musee_vie_bourg;
DIJ-071;853904,8142;6692689,625;2;7,5;9;10;92,89992853;215,963103;112,7801832;228,8598154;6;10;52,64583588;14,75450897;0;5603256,861;82141,84109;4,628769083;13934;4349;26417;1;musee_vie_bourg;2
DIJ-072;855419,1611;6693192,977;3;3,5;16;8;59,78807896;101,1801031;87,12213719;79,04489892;7;10;55,28290558;10,87052536;0;5869520,363;173401,5375;5,241591687;32300;10499;13209;2;bd_strasbourg;1
DIJ-073;855461,5486;6693196,04;3;5;17;8;58,27014885;135,0684205;85,08169498;81,93951535;8;11;55,51933289;10,79342651;0;5809303,254;174230,4925;5,164991291;33607;11309;12793;2;bd_strasbourg;2
