id_nestbox;year;breeding_window;laying_date;flight_date;clutch_size;brood_size;fledgling_nb;success_manipulated;father_id;mother_id;species;mass;tarsus_length;wing_length;temp_station_id;cumdd_30;cumdd_60;cumdd_between;min_t_before;min_t_between;mean_winter_t;sd_winter_t
DIJ-049;2022;late_2022;2022-04-14;2022-05-16;8;8;8;0;8877445;NA;PM;16,83625000000000;19,5087500000000;46,3125000000000;s42;283,060;486,130;449,850;-2,190;4,870;5,78057411504425;3,64153668413190
DIJ-050;2019;early_2019;2019-03-22;2019-04-26;9;8;8;0;NA;NA;CC;7,86375000000000;15,2125000000000;33,0000000000000;s42;255,240;371,070;364,260;-0,873;-0,563;5,78057411504425;3,64153668413190
DIJ-050;2021;early_2021;2021-03-28;2021-05-04;11;10;5;0;NA;NA;CC;8,93600000000000;16,3220000000000;31,3000000000000;s42;198,260;399,650;351,660;-1,128;-1,814;5,78057411504425;3,64153668413190
DIJ-050;2022;early_2022;2022-03-31;2022-05-07;10;10;9;0;8877401;8876600;PM;13,47555555555556;18,3377777777778;43,7222222222222;s42;264,530;451,980;409,020;-2,600;-2,190;5,78057411504425;3,64153668413190
DIJ-051;2019;early_2019;2019-03-28;2019-05-02;8;5;3;0;NA;NA;PM;14,70000000000000;NA;NA;s42;258,970;420,830;368,960;-0,873;-0,563;5,78057411504425;3,64153668413190
DIJ-051;2020;early_2020;2020-03-31;2020-04-29;7;7;0;0;NA;NA;PM;NA;NA;NA;s42;245,790;486,480;389,140;0,715;-0,395;5,78057411504425;3,64153668413190
DIJ-051;2022;late_2022;2022-04-12;2022-05-15;9;9;0;0;NA;NA;PM;NA;NA;NA;s42;270,200;465,770;460,800;-2,190;4,870;5,78057411504425;3,64153668413190
DIJ-052;2021;early_2021;2021-04-01;2021-05-05;8;8;7;0;8876504;8876503;PM;14,06857142857143;17,9871428571429;37,1428571428571;s42;215,890;417,850;308,470;-1,128;-1,814;5,78057411504425;3,64153668413190
DIJ-053;2019;early_2019;2019-04-02;2019-05-04;8;8;7;0;NA;NA;PM;13,70857142857143;NA;NA;s42;270,170;463,010;333,390;-0,873;-0,563;5,78057411504425;3,64153668413190
DIJ-053;2022;early_2022;2022-03-24;2022-04-18;9;0;0;0;NA;NA;PM;NA;NA;NA;s42;225,120;376,500;240,020;-2,600;-2,190;5,78057411504425;3,64153668413190
