id_nestbox;year;date;laying_date;incubation_date;hatching_date;clutch_size;brood_size;fledgling_nb;success_manipulated;father_id;mother_id;species;mass;tarsus_length;wing_length
DIJ-102;2022;03/05/2022;28/03/2022;05/04/2022;20/04/2022;10;9;9;0;NA;NA;CC;11,20222222222222;17,1922222222222;36,2222222222222
DIJ-103;2020;27/04/2020;01/04/2020;NA;NA;8;8;8;0;NA;8382540;PM;16,75500000000000;19,5000000000000;NA
DIJ-104;2019;03/05/2019;01/04/2019;NA;NA;8;6;3;0;NA;NA;PM;17,44333333333334;NA;NA
DIJ-105;2019;04/05/2019;31/03/2019;NA;NA;9;9;9;0;NA;NA;PM;16,10111111111111;NA;NA
DIJ-105;2020;30/04/2020;26/03/2020;NA;NA;8;7;5;0;NA;7556298;PM;16,56000000000000;19,0500000000000;NA
DIJ-106;2019;14/05/2019;03/04/2019;NA;NA;14;14;8;0;NA;NA;CC;7,10250000000000;NA;NA
DIJ-106;2020;05/05/2020;01/04/2020;NA;NA;8;8;8;0;NA;NA;CC;9,16000000000000;15,2950000000000;NA
DIJ-108;2019;13/05/2019;11/04/2019;NA;NA;7;7;5;0;NA;8791408;PM;11,96800000000000;NA;NA
DIJ-109;2020;11/05/2020;07/04/2020;NA;NA;9;9;6;0;NA;NA;PM;14,46000000000000;19,1400000000000;NA
DIJ-109;2021;16/05/2021;10/04/2021;16/04/2021;03/05/2021;8;8;4;0;NA;8877051;PM;12,42000000000000;17,0000000000000;33,2500000000000
DIJ-109;2022;01/05/2022;08/04/2022;18/04/2022;01/05/2022;12;12;11;0;NA;NA;CC;10,16818181818182;16,4218181818182;39,7727272727273
DIJ-110;2019;13/05/2019;10/04/2019;NA;NA;6;6;6;0;NA;7556111;PM;14,38000000000000;NA;NA
DIJ-110;2021;30/04/2021;13/04/2021;17/04/2021;NA;6;0;0;0;NA;NA;PM;NA;NA;NA
DIJ-111;2019;03/05/2019;29/03/2019;NA;NA;10;10;4;0;NA;NA;PM;16,82000000000000;NA;NA
