id_nestbox;site;year;breeding_window;laying_date;flight_date;clutch_size;brood_size;fledgling_nb;success_manipulated;father_id;mother_id;species;mass;tarsus_length;wing_length;cumdd_30;min_t_before;min_t_between;mean_winter_t;sd_winter_t;lsource_0_m;lsource_0_iq;lsource_10_m;lsource_10_iq;lflux_0_m;lflux_0_iq;lflux_10_m;lflux_10_iq;lsource_vs150_m;lsource_vs150_sd;noise_m;noise_iq;trafic;age_class;strata_div;woodyveg_volume;woodyveg_sd;vegetation_area;woody_area;herbaceous_area;soft_manag_area;open_area;built_area
DIJ-038;sq_ph_dard;2020;early_2020;2020-03-12;2020-04-14;9;0;0;0;"NA";"NA";PM;NA;NA;NA;NA;NA;NA;NA;NA;4;9,25;125;355;57,667205645423302;111,734402998617000;103551807268991;65902233324385;11;10,286891999272600;529280204772949;100631980895996;154557001647376;1;2;72332921585083;339236951855553;23288;13860;9428;0,00000000000000e+00;29667;17398
DIJ-039;sq_ph_dard;2021;late_2021;2021-04-23;2021-05-10;6;0;0;0;"NA";"NA";PM;NA;NA;NA;NA;NA;NA;NA;NA;4;10,00;1235;38;46,264482896771000;117,588851943386999;101578395881283;597400043710529;11;10,286089229864301;530838279724121;103014869689941;174546368305472;1;2;735557294769287;339472999386196;23178;14087;9091;0,00000000000000e+00;30371;16804
DIJ-040;port_du_canal;2020;early_2020;2020-03-23;2020-04-29;11;11;10;0;8382543;"NA";PM;14,26000000000000;18,4100000000000;NA;NA;NA;NA;NA;NA;8;14,00;58;31;13,198795270020600;67,956626782998001;38610498855628;383646533522924;21;10,858950410493000;584199333190918;974480438232422;310431189866788;0;3;153644547698975;577787978147627;24148;15234;8914;8,03053090013016e+02;37868;8337
DIJ-040;port_du_canal;2021;late_2021;2021-04-05;2021-05-12;9;9;9;0;"NA";8877036;CC;10,67555555555556;16,8888888888889;38,6111111111111;NA;NA;NA;NA;NA;8;14,00;58;31;13,198795270020600;67,956626782998001;38610498855628;383646533522924;21;10,858950410493000;584199333190918;974480438232422;310431189866788;0;3;153644547698975;577787978147627;24148;15234;8914;8,03053090013016e+02;37868;8337
DIJ-040;port_du_canal;2022;early_2022;2022-03-30;2022-05-04;9;9;10;1;"NA";"NA";PM;14,87600000000000;19,0530000000000;42,9500000000000;NA;NA;NA;NA;NA;8;14,00;58;31;13,198795270020600;67,956626782998001;38610498855628;383646533522924;21;10,858950410493000;584199333190918;974480438232422;310431189866788;0;3;153644547698975;577787978147627;24148;15234;8914;8,03053090013016e+02;37868;8337
DIJ-041;port_du_canal;2019;late_2019;2019-04-10;2019-05-16;12;5;0;0;"NA";"NA";CC;NA;NA;NA;NA;NA;NA;NA;NA;8;17,50;595;3725;12,694069568108100;56,163291422657203;380299992548123;49352862159471;21;11,553655867976699;59193977355957;100109672546387;309763151444697;0;3;206064065750122;617971360222518;27972;18153;9819;6,09897174798107e+02;35627;6754
DIJ-041;port_du_canal;2021;early_2021;2021-03-31;2021-05-04;9;9;4;0;"NA";"NA";PM;13,27000000000000;16,9975000000000;32,3750000000000;NA;NA;NA;NA;NA;8;17,50;595;3725;12,694069568108100;56,163291422657203;380299992548123;49352862159471;21;11,553655867976699;59193977355957;100109672546387;309763151444697;0;3;206064065750122;617971360222518;27972;18153;9819;6,09897174798107e+02;35627;6754
DIJ-042;port_du_canal;2020;late_2020;2020-04-11;2020-05-12;8;8;5;0;8791966;"NA";PM;15,77500000000000;18,0350000000000;NA;NA;NA;NA;NA;NA;9;21,00;62;38;16,313706306051799;58,548643578090001;403312992185608;610997203595874;23;12,060602489972700;598593826293945;120153350830078;488825955127649;0;3;240473817321777;606237378806393;29901;20767;9134;5,32196648429236e+02;34427;6025
DIJ-044;port_du_canal;2019;late_2019;2019-04-10;2019-05-13;8;8;6;0;"NA";8791391;PM;11,04166666666667;NA;NA;NA;NA;NA;NA;NA;10;25,75;69;4975;21,610946348679100;93,022311305617393;461144925915543;106872796737669;22;13,171445486505601;613096961975098;128301162719727;737789398668675;1;1;212280989028931;573522056524289;30767;20175;10592;1,84071084567698e+03;29872;9714
DIJ-044;port_du_canal;2020;early_2020;2020-03-24;2020-05-03;10;10;7;0;"NA";"NA";CC;8,75500000000000;15,7550000000000;NA;NA;NA;NA;NA;NA;10;25,75;69;4975;21,610946348679100;93,022311305617393;461144925915543;106872796737669;22;13,171445486505601;613096961975098;128301162719727;737789398668675;1;1;212280989028931;573522056524289;30767;20175;10592;1,84071084567698e+03;29872;9714
